Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount,Last Save ID,Last Sale ID,Transaction ID,Reporting Gap
Chuck Fleischmann,FLJP,-26.886849044784274,[20003766619],[20003769247],8000.0,8000.0,20003769247,20003769247,20003769247,28
Chuck Fleischmann,GLDM,3.279982827578464,[20003759037],[20003769236],8000.0,8000.0,20003769236,20003769236,20003769236,28
Chuck Fleischmann,HYBB,-0.04866636623240048,"[20003723688, 20003751940, 20003755798]","[20003759026, 20003762997, 20003770930]",24000.0,24000.0,20003770930,20003770930,20003770930,14
Chuck Fleischmann,IAU,-0.3307688243894322,[20001641561],"[20003713214, 20003751938, 20003755796, 20003759024]",8000.0,32000.0,20003759024,20003759024,20003759024,21
Chuck Fleischmann,IBDP,-7.345487891430561,[20003672248],[20003723686],8000.0,8000.0,20003723686,20003723686,20003723686,21
Chuck Fleischmann,IBDU,-17.430947740369046,"[20003723689, 20003751941]",[20003755799],16000.0,8000.0,20003755799,20003755799,20003755799,26
Chuck Fleischmann,IBTF,-17.792925357013956,[20003713219],[20003723691],8000.0,8000.0,20003723691,20003723691,20003723691,21
Chuck Fleischmann,IBTG,-13.942748779415975,[20003713216],[20003755801],8000.0,8000.0,20003755801,20003755801,20003755801,26
Chuck Fleischmann,IBTK,-17.92530462627589,"[20003723690, 20003751942]",[20003755800],40500.0,32500.0,20003755800,20003755800,20003755800,26
Chuck Fleischmann,IEMG,-0.6764968277586374,[20001641563],[20003672246],8000.0,8000.0,20003672246,20003672246,20003672246,26
Chuck Fleischmann,IGLB,20.886839465278403,[20001641562],[20003672245],8000.0,8000.0,20003672245,20003672245,20003672245,26
Chuck Fleischmann,MDYG,-12.84083345773308,"[20003672250, 20003707238]",[20003723695],16000.0,8000.0,20003723695,20003723695,20003723695,21
Chuck Fleischmann,MDYG,3.038856330141196,"[20003755807, 20003763000]",[20003769239],16000.0,8000.0,20003769239,20003769239,20003769239,28
Chuck Fleischmann,MDYV,0.05803711211073163,"[20003672251, 20003707239]",[20003723696],16000.0,8000.0,20003723696,20003723696,20003723696,21
Chuck Fleischmann,MDYV,7.263702684773609,[20003755808],"[20003759033, 20003763001, 20003769238]",32500.0,24000.0,20003769238,20003769238,20003769238,28
Chuck Fleischmann,PDBC,-3.0170998783593648,"[20003713213, 20003723684]","[20003751937, 20003755795, 20003762995]",16000.0,24000.0,20003762995,20003762995,20003762995,13
Chuck Fleischmann,SHY,0.9853521580218202,[20003755797],"[20003759025, 20003766621]",32500.0,65000.0,20003766621,20003766621,20003766621,24
Chuck Fleischmann,SLYG,-33.113163622098,[20003759030],[20003762999],8000.0,8000.0,20003762999,20003762999,20003762999,13
Chuck Fleischmann,SPDW,-2.7456204712544916,[20003759029],"[20003766622, 20003769241]",32500.0,40500.0,20003769241,20003769241,20003769241,28
Chuck Fleischmann,SPYG,-32.945341640453286,[20003723693],[20003755805],8000.0,8000.0,20003755805,20003755805,20003755805,26
Chuck Fleischmann,SPYV,6.834977406401483,[20001641567],[20003713221],8000.0,8000.0,20003713221,20003713221,20003713221,18
Chuck Fleischmann,SPYV,0.5830268334404614,[20003723694],"[20003755806, 20003770934]",8000.0,16000.0,20003770934,20003770934,20003770934,14
Chuck Fleischmann,TLH,41.14078668859792,[20003769243],[20003770928],8000.0,32500.0,20003770928,20003770928,20003770928,14
Chuck Fleischmann,XLP,-11.322217451758998,[20003723699],[20003759035],8000.0,8000.0,20003759035,20003759035,20003759035,21
Chuck Fleischmann,XLV,4.1418513416818925,[20003713222],[20003759034],8000.0,8000.0,20003759034,20003759034,20003759034,21
Chuck Fleischmann,XME,1.7152676046332642,[20003759032],[20003770935],8000.0,8000.0,20003770935,20003770935,20003770935,14
Chuck Fleischmann,XMHQ,63.898557224322964,[20003762996],[20003766620],8000.0,8000.0,20003766620,20003766620,20003766620,24
Chuck Fleischmann,XONE,-0.08067422759325518,[20003766618],[20003769248],32500.0,8000.0,20003769248,20003769248,20003769248,28
Chuck Fleischmann,ZROZ,47.599587637711274,[20003755802],[20003759028],8000.0,8000.0,20003759028,20003759028,20003759028,21
Cindy Axne,JEF,-8.698017267811247,[20003710911],"[20003758367, 20003758368, 20003758369]",8000.0,24000.0,20003758369,20003758369,20003758369,10
Cindy Axne,LBRDA,-26.227163971217333,"[20003696107, 20003696108, 20003696109, 20003696110, 20003710913]","[20003751916, 20003753407, 20003753408, 20003753409]",40000.0,32000.0,20003753409,20003753409,20003753409,8
Cindy Axne,PYPL,-42.68785105043388,"[20003715074, 20003715075, 20003715076]","[20003755773, 20003755774, 20003755775]",24000.0,24000.0,20003755775,20003755775,20003755775,6
Dan Crenshaw,RIVN,-702.8153541345021,[20003710039],[20003710038],8000.0,8000.0,20003710038,20003710038,20003710038,18
Dan Crenshaw,SPY,-34.850324390747936,[20003707990],[20003710808],8000.0,8000.0,20003710808,20003710808,20003710808,7
Dan Crenshaw,TSLA,-10.117847872552478,"[20003707993, 20003707992, 20003707991]","[20003707994, 20003707995, 20003710040]",24000.0,24000.0,20003710040,20003710040,20003710040,12
Dan Newhouse,AVGO,83.1076817299594,[20003763525],[20003772729],8000.0,8000.0,20003772729,20003772729,20003772729,15
